rpid,parent
3061437039,3061361771
3061442881,3061361771
3061455886,3061361771
3061451247,3061361771
3061456039,3061361771
3061460804,3061361771
3061462332,3061361771
3061465535,3061361771
3061479321,3061361771
3061487421,3061361771
3061484310,3061361771
3061501556,3061361771
3061498377,3061361771
3061504312,3061361771
3061504354,3061361771
3061510367,3061361771
3061504573,3061361771
3061516293,3061361771
3061530406,3061437039
3061530485,3061361771
3061532416,3061361771
3061532688,3061361771
3061538989,3061437039
3061577108,3061361771
3061580304,3061437039
3061593093,3061361771
3061601089,3061437039
3061618277,3061361771
3061614349,3061361771
3061618897,3061361771
3061637391,3061361771
3061651500,3061361771
3061662502,3061442881
3061669452,3061651500
3061673299,3061498377
3061688867,3061361771
3061706892,3061361771
3061712031,3061437039
3061719970,3061361771
3061734089,3061437039
3061747596,3061361771
3061744344,3061451247
3061755298,3061361771
3061749767,3061361771
3061762229,3061361771
3061762254,3061437039
3061762370,3061361771
3061771278,3061451247
3061777193,3061361771
3061780613,3061361771
3061786451,3061361771
3061807006,3061516293
3061810187,3061361771
3061809487,3061361771
3061820895,3061361771
3061839214,3061749767
3061856732,3061361771
3061853197,3061361771
3061854844,3061361771
3061865646,3061451247
3061868095,3061442881
3061873446,3061442881
3061874894,3061530406
3061885194,3061451247
3061887361,3061487421
3061883582,3061479321
3061893502,3061437039
3061893621,3061361771
3061917243,3061361771
3061919239,3061361771
3061942759,3061361771
3061947521,3061504354
3061957397,3061361771
3061985196,3061442881
3062005659,3061540454
3062007948,3061361771
3062017526,3061361771
3062018125,3061437039
3062025619,3061361771
3062039741,3061437039
3062049579,3061361771
3062055527,3061361771
3062062649,3061361771
3062101134,3061361771
3062212205,3061361771
3062279717,3061437039
3062293300,3061361771
3062311519,3061361771
3062313655,3061451247
3062315824,3061437039
3062327377,3061487421
3062330148,3061437039
3062346004,3061361771
3062396223,3061456039
3062401569,3061504312
3062397405,3061361771
3062412669,3062279717
3062426568,3061451247
3062470133,3061361771
3062476980,3061437039
3062477337,3061361771
3062483268,3061593093
3062498009,3061437039
3062512871,3061361771
3062525893,3061361771
3062526045,3061460804
3062526978,3061437039
3062536112,3061437039
3062555544,3061361771
3062576596,3061361771
3062618911,3061456039
3062630607,3061361771
3062632518,3061437039
3062641720,3061487421
